Type of Activity,Total Assaults by Weapon,Firearm,Knife or Other Cutting Instrument,Other Dangerous Weapon,"Hand, Fists, Feet, Etc.",Two-Man Vehicle,One-Man Vehicle Alone,One-Man Vehicle Assisted,Detective Special Assign. Alone,Detective Special Assign. Assisted,Other Alone,Other Assisted,Cleared 
"Responding to ""Disturbance"" Call",31,4,1,2,24,,9,19,,,,3,26
Burglaries in progress or pursuing burglary suspect,2,,,2,,,,2,,,,,
Robberies in progress or pursuing robbery suspect,0,,,,,,,,,,,,
Attempting other arrest,5,,,2,3,,1,1,,,,3,5
"Civil disorder (riot, mass disobedience)",0,,,,,,,,,,,,
"Handling,  transporting, custody of prisoners",24,,,3,21,,4,8,,,5,7,16
Investigation suspicious persons or circumstances,2,,,,2,,1,,,1,,,
Ambush - no warning,0,,,,,,,,,,,,
Mentally deranged,5,,,,5,,1,3,,,,1,1
Traffic pursuits and stops,5,,,2,3,,1,4,,,,,2
All others,7,,,2,5,,1,2,1,1,1,1,4