,Actual,,Cleared,,%Cleared,Stolen,,%Change,,,,
,,,,,,,,,,,,
Murder,7,,6,,85.70%,$0 ,,75.00%,,,,
Rape,68,,16,,23.50%,$0 ,,30.80%,,,,
Robbery,18,,5,,27.80%,"$7,185 ",,0.00%,,,,
Aggravated Assault,218,,130,,59.60%,$0 ,,-7.20%,,,,
Total Violent Crimes,311,,157,,50.50%,"$7,185 ",,0.60%,,,,
Burglary,437,,42,,9.60%,"$533,763 ",,-8.40%,,,,
Larceny,"2,085",,369,,17.70%,"$3,208,135 ",,-5.70%,,,,
MV Theft,210,,56,,26.70%,"$1,412,511 ",,-15.30%,,,,
Total Property Crimes,"2,732",,467,,17.10%,"$5,154,409 ",,-6.90%,,,,
Grand Total,"3,043",,624,,20.50%,"$5,161,594 ",,-6.20%,,,,
Arson,16,,6,,37.50%,"$125,420 ",,23.10%,,,,
,,,,,,,,3RD QT,,3RD QT,,
,,,,AGG.,,,,,,,,%
,MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2017,M,2016,M,
,,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,1,0,1,8,26,133,11,180,,142,,26.80%
Sheriff,1,,,3,3,8,1,16,3,12,3,33.30%
Laramie,,,1,5,21,108,10,145,3,106,3,36.80%
Univ of Wyoming,,,,,2,17,,19,3,24,3,-20.80%
BIG HORN COUNTY,0,2,0,7,0,7,1,17,,9,,88.90%
Sheriff,,1,,2,,6,,9,3,8,3,12.50%
Lovell,,1,,5,,1,1,8,0,0,0,100.00%
Greybull,,,,,,,,0,3,1,3,-100.00%
CAMPBELL COUNTY,1,10,2,27,20,149,11,220,,293,,-24.90%
Sheriff,1,8,1,22,5,28,7,72,3,68,3,5.90%
Gillette,,2,1,5,15,121,4,148,3,225,3,-34.20%
CARBON COUNTY,0,3,0,5,3,38,10,59,,88,,-33.00%
Sheriff,,2,,,,1,2,5,3,13,3,-61.50%
Rawlins,,1,,5,3,36,8,53,3,0,0,100.00%
Saratoga,,,,,,1,,1,3,9,3,-88.90%
Hanna,,,,,,,,0,3,0,0,0.00%
CONVERSE COUNTY,0,0,0,1,0,13,0,14,,64,,-78.10%
Sheriff,,,,,,,,0,0,0,0,0.00%
Douglas,,,,1,,7,,8,1,47,3,-83.00%
Glenrock,,,,,,6,,6,3,17,3,-64.70%
CROOK COUNTY,0,0,0,0,2,6,0,8,,17,,-52.90%
Sheriff,,,,,2,6,,8,3,12,3,-33.30%
Sundance,,,,,,,,0,3,3,3,-100.00%
Moorcroft,,,,,,,,0,3,2,3,-100.00%
FREMONT COUNTY,0,0,0,6,13,180,8,207,,278,,-25.50%
Sheriff,,,,,,,,0,0,38,0,-100.00%
Lander,,,,,,42,2,44,3,71,3,-38.00%
Riverton,,,,6,13,138,6,163,3,169,3,-3.60%
GOSHEN COUNTY,0,0,0,6,3,11,0,20,,38,,-47.40%
Sheriff,,,,,,,,0,0,15,3,-100.00%
Torrington,,,,6,3,11,,20,3,23,3,-13.00%
HOT SPRINGS COUNTY,0,0,0,4,7,16,3,30,,22,,36.40%
Sheriff,,,,,3,1,3,7,3,7,3,0.00%
Thermopolis,,,,4,4,15,,23,3,15,1,53.30%
JOHNSON COUNTY,0,1,0,2,4,15,2,24,,25,,-4.00%
Sheriff,,1,,1,3,5,,10,3,7,2,42.90%
Buffalo,,,,1,1,10,2,14,3,18,3,-22.20%
LARAMIE COUNTY,2,8,10,62,117,610,74,883,,942,,-6.30%
Sheriff,1,2,,21,31,101,15,171,3,155,3,10.30%
Cheyenne,1,6,10,41,86,504,58,706,3,784,3,-9.90%
Pine Bluffs,,,,,,5,1,6,3,3,3,100.00%
,,,,,,,,3RD QT,,3RD QT,,
,,,,AGG.,,,,,,,,%
,MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2018,M,2017,M,
,,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,0.598787879,2.556133829,4.625826367,16.06016592,27.30194501,129.0052549,18.98414603,162.852439,,183.9121951,,-18.35%
Sheriff,0.602060606,,,16.36790747,27.94421523,131.8566295,19.43444094,166.7466899,2.614626868,188.2912892,2.575913878,-18.53%
Laramie,0.605333333,2.571003717,4.891192701,16.67564902,28.58648546,134.708004,19.88473586,170.6409408,2.618541485,192.6703833,2.584384852,-18.71%
Univ of Wyoming,0.608606061,2.578438662,5.023875867,16.98339057,29.22875568,137.5593785,20.33503077,174.5351916,2.622456101,197.0494774,2.592855825,-18.89%
BIG HORN COUNTY,0.611878788,2.585873606,5.156559034,17.29113212,29.8710259,140.4107531,20.78532569,178.4294425,2.626370717,201.4285714,2.601326798,-19.06%
Sheriff,0.615151515,2.59330855,5.289242201,17.59887367,30.51329612,143.2621276,21.2356206,182.3236934,2.630285334,205.8076655,2.609797772,-19.24%
Lovell,0.618424242,2.600743494,5.421925367,17.90661522,31.15556634,146.1135021,21.68591552,186.2179443,2.63419995,210.1867596,2.618268745,-19.42%
Greybull,0.62169697,2.608178439,5.554608534,18.21435677,31.79783656,148.9648767,22.13621043,190.1121951,2.638114567,214.5658537,2.626739718,-19.60%
CAMPBELL COUNTY,0.624969697,2.615613383,5.687291701,18.52209832,32.44010679,151.8162512,22.58650535,194.006446,2.642029183,218.9449477,2.635210691,-19.78%
Sheriff,0.628242424,2.623048327,5.819974868,18.82983987,33.08237701,154.6676257,23.03680026,197.9006969,2.6459438,223.3240418,2.643681665,-19.96%
Gillette,0.631515152,2.630483271,5.952658034,19.13758143,33.72464723,157.5190003,23.48709518,201.7949477,2.649858416,227.7031359,2.652152638,-20.14%
CARBON COUNTY,0.634787879,2.637918216,6.085341201,19.44532298,34.36691745,160.3703748,23.93739009,205.6891986,2.653773032,232.08223,2.660623611,-20.32%
Sheriff,0.638060606,2.64535316,6.218024368,19.75306453,35.00918767,163.2217493,24.38768501,209.5834495,2.657687649,236.461324,2.669094585,-20.50%
Rawlins,0.641333333,2.652788104,6.350707534,20.06080608,35.65145789,166.0731239,24.83797992,213.4777003,2.661602265,240.8404181,2.677565558,-20.68%
Saratoga,0.644606061,2.660223048,6.483390701,20.36854763,36.29372811,168.9244984,25.28827484,217.3719512,2.665516882,245.2195122,2.686036531,-20.86%
Hanna,0.647878788,2.667657993,6.616073868,20.67628918,36.93599834,171.7758729,25.73856975,221.2662021,2.669431498,249.5986063,2.694507504,-21.03%
CONVERSE COUNTY,0.651151515,2.675092937,6.748757034,20.98403073,37.57826856,174.6272475,26.18886467,225.160453,2.673346115,253.9777003,2.702978478,-21.21%
Sheriff,0.654424242,2.682527881,6.881440201,21.29177228,38.22053878,177.478622,26.63915958,229.0547038,2.677260731,258.3567944,2.711449451,-21.39%
Douglas,0.65769697,2.689962825,7.014123368,21.59951383,38.862809,180.3299965,27.0894545,232.9489547,2.681175348,262.7358885,2.719920424,-21.57%
Glenrock,0.660969697,2.69739777,7.146806534,21.90725538,39.50507922,183.1813711,27.53974941,236.8432056,2.685089964,267.1149826,2.728391397,-21.75%
CROOK COUNTY,0.664242424,2.704832714,7.279489701,22.21499693,40.14734944,186.0327456,27.99004433,240.7374564,2.68900458,271.4940767,2.736862371,-21.93%
Sheriff,0.667515152,2.712267658,7.412172868,22.52273848,40.78961967,188.8841201,28.44033924,244.6317073,2.692919197,275.8731707,2.745333344,-22.11%
Sundance,0.670787879,2.719702602,7.544856035,22.83048003,41.43188989,191.7354947,28.89063416,248.5259582,2.696833813,280.2522648,2.753804317,-22.29%
Moorcroft,0.674060606,2.727137546,7.677539201,23.13822158,42.07416011,194.5868692,29.34092907,252.4202091,2.70074843,284.6313589,2.762275291,-22.47%
FREMONT COUNTY,0.677333333,2.734572491,7.810222368,23.44596313,42.71643033,197.4382437,29.79122399,256.3144599,2.704663046,289.010453,2.770746264,-22.65%
Sheriff,0.680606061,2.742007435,7.942905535,23.75370468,43.35870055,200.2896183,30.2415189,260.2087108,2.708577663,293.389547,2.779217237,-22.83%
Lander,0.683878788,2.749442379,8.075588701,24.06144623,44.00097077,203.1409928,30.69181382,264.1029617,2.712492279,297.7686411,2.78768821,-23.00%
Riverton,0.687151515,2.756877323,8.208271868,24.36918778,44.64324099,205.9923673,31.14210873,267.9972125,2.716406896,302.1477352,2.796159184,-23.18%
GOSHEN COUNTY,0.690424242,2.764312268,8.340955035,24.67692933,45.28551122,208.8437419,31.59240365,271.8914634,2.720321512,306.5268293,2.804630157,-23.36%
Sheriff,0.69369697,2.771747212,8.473638201,24.98467088,45.92778144,211.6951164,32.04269856,275.7857143,2.724236128,310.9059233,2.81310113,-23.54%
Torrington,0.696969697,2.779182156,8.606321368,25.29241243,46.57005166,214.5464909,32.49299348,279.6799652,2.728150745,315.2850174,2.821572104,-23.72%
HOT SPRINGS COUNTY,0.700242424,2.7866171,8.739004535,25.60015398,47.21232188,217.3978655,32.94328839,283.574216,2.732065361,319.6641115,2.830043077,-23.90%
Sheriff,0.703515152,2.794052045,8.871687701,25.90789553,47.8545921,220.24924,33.39358331,287.4684669,2.735979978,324.0432056,2.83851405,-24.08%
Thermopolis,0.706787879,2.801486989,9.004370868,26.21563708,48.49686232,223.1006145,33.84387822,291.3627178,2.739894594,328.4222997,2.846985023,-24.26%
JOHNSON COUNTY,0.710060606,2.808921933,9.137054035,26.52337863,49.13913255,225.9519891,34.29417314,295.2569686,2.743809211,332.8013937,2.855455997,-24.44%
Sheriff,0.713333333,2.816356877,9.269737202,26.83112018,49.78140277,228.8033636,34.74446805,299.1512195,2.747723827,337.1804878,2.86392697,-24.62%
Buffalo,0.716606061,2.823791822,9.402420368,27.13886174,50.42367299,231.6547381,35.19476297,303.0454704,2.751638443,341.5595819,2.872397943,-24.80%
LARAMIE COUNTY,0.719878788,2.831226766,9.535103535,27.44660329,51.06594321,234.5061127,35.64505788,306.9397213,2.75555306,345.938676,2.880868917,-24.97%
Sheriff,0.723151515,2.83866171,9.667786702,27.75434484,51.70821343,237.3574872,36.0953528,310.8339721,2.759467676,350.31777,2.88933989,-25.15%
Cheyenne,0.726424242,2.846096654,9.800469868,28.06208639,52.35048365,240.2088617,36.54564771,314.728223,2.763382293,354.6968641,2.897810863,-25.33%
Pine Bluffs,,,,,,243.0602363,36.99594263,318.6224739,2.767296909,359.0759582,2.906281836,-25.51%
,,,,,,,,3RD QT,,3RD QT,,
,,ADULT,,,JUVENILE,,,,,,,
,,,,,,,,,,,,
CLASSIFICATION OF OFFENSES,Male,Female,,Male,Female,,,,,,,
Murder & Non-Negligent Manslaughter,,4 1,,,,,,,,,,
Forcible Rape,,6,,,4,,,,,,,
Robbery,,4 1,,,,,,,,,,
Aggravated Assault,92,21,,,6,,,,,,,
Burglary,33,7,,,4,,,,,,,
Larceny-Theft,210,178,,52,,24,,,,,,
Motor Vehicle Theft,29,8,,,3,,,,,,,
TOTAL INDEX OFFENSE ARRESTS,378,216,,69,24,,,,,,,
Manslaughter by Negligence,,,,,,,,,,,,
Arson,,3,,,3,,,,,,,
Other Assaults,304,107,,32,,27,,,,,,
Forgery & Counterfeiting,,4 3,,,,,,,,,,
Fraud,16,18,,,1,,,,,,,
Embezzlement,,2,,,5,,,,,,,
"Stolen Property; By Receive, Possess",25,5,,,2,,,,,,,
Vandalism,53,19,,26,,4,,,,,,
"Weapons; Carry, Possess, etc.",13,1,,,1,,,,,,,
Prostitution & Commercialized Vice,11,4,,,,,,,,,,
Sex Offenses(Except Rape & Prostitution),21,,,,3,,,,,,,
GRAND TOTAL DRUG ABUSE VIOLATIONS,690,351,,68,33,,,,,,,
(1) Sale/Manufacture Subtotal,69,30,,,,2,,,,,,
(2) Possession Subtotal,621,321,,68,,31,,,,,,
Gambling Offenses,,,,,,,,,,,,
Offenses Against Family & Children,67,28,,,1,,,,,,,
Driving Under the Influence,645,213,,,7,,,,,,,
Liquor Laws,337,119,,51,,41,,,,,,
Drunkenness,566,118,,,2,1,,,,,,
Disorderly Conduct,151,56,,17,,6,,,,,,
Vagrancy,,2 2,,,,,,,,,,
All Other Offenses (Except Traffic),1319,613,,93,,36,,,,,,
Suspicion,,,,,,,,,,,,
Curfew & Loitering Law Violations,N/A,N/A,,27,,14,,,,,,
Runaways,N/A,N/A,,,,,,,,,,
TOTALS,,,,,,,,,,,,
,,,,,,,,,,,,
Total Arrests A dult - Juvenile,"6,480",,,594,,,,,,,,
TOTAL ARRESTS,"7,074",,,,,,,,,,,
,2017,2016,% Change,,,,,,,,,
Adult  Male,"4,605","4,643",-0.82%,,,,,,,,,
Adult Female,"1,875","1,772",5.81%,,,,,,,,,
Adult Total,"6,480","6,415",1.01%,,,,,,,,,
JV Male,408,495,-17.58%,,,,,,,,,
JV Female,186,179,3.91%,,,,,,,,,
JV Total,594,674,-11.42%,,,,,,,,,
TOTAL,"7,074","7,089",-0.21%,,,,,,,,,
,VALUE,VALUE,PERCENT,,,,,,,,,
TYPE OF PROPERTY,STOLEN,RECOVERED,RECOVERED,,,,,,,,,
"A) Currency, Notes, etc.","$243,951 ","$22,396 ",9.20%,,,,,,,,,
B) Jewelry & Precious Metal,"$66,215 ","$5,017 ",7.60%,,,,,,,,,
C) Clothing & Furs,"$37,664 ","$8,780 ",23.30%,,,,,,,,,
D) Locally Stolen Motor Vehicles,"$1,323,061 ","$937,172 ",70.80%,,,,,,,,,
E) Office Equipment,"$68,041 ","$2,876 ",4.20%,,,,,,,,,
"F) Televisions, Radios, Stereos, etc.","$69,993 ","$8,774 ",12.50%,,,,,,,,,
G) Firearms,"$76,633 ","$11,607 ",15.10%,,,,,,,,,
H) Household Goods,"$93,377 ","$2,862 ",3.10%,,,,,,,,,
I) Consumable Goods,"$25,224 ","$3,442 ",13.60%,,,,,,,,,
J) Livestock,"$4,450 ","$4,000 ",89.90%,,,,,,,,,
K) Miscellaneous,"$3,151,895 ","$361,260 ",11.50%,,,,,,,,,
TOTAL,"$5,160.50 ","$1,368.19 ",26.50%,,,,,,,,,
,,,,Estimated,,,,,,,,
,Number,Total,Uninhabited,Value of,,,,,,,,
Property Classification,of,Offenses,or Abandoned,Property,,,,,,,,
,Offenses,Cleared,Structures,Damaged,,,,,,,,
Single Occupancy Residence,3,1,,$10 ,,,,,,,,
Other Residence,1,1,1,"$1,000 ",,,,,,,,
Storage,1,,1,$50 ,,,,,,,,
Industrial/Manufacturing,,,,,,,,,,,,
Other Commercial,1,,,,,,,,,,,
Community/Public,3,1,3,"$5,000 ",,,,,,,,
All other Structures,1,,1,,,,,,,,,
TOTAL STRUCTURES,10,3,6,"$6,060 ",,,,,,,,
Motor Vehicles,1,,1,"$17,000 ",,,,,,,,
Other Mobile Property,,,,,,,,,,,,
TOTAL MOBILE,1,,1,"$17,000 ",,,,,,,,
TOTAL OTHER,5,3,,"$102,360 ",,,,,,,,
GRAND TOTAL,16,6,7,"$125,420 ",,,,,,,,
,,,,Total Arsons Reported by Month,,,,,,,,
Jan,Feb,Mar,Apr,May Jun Jul Aug Sep,Oct,Nov,Dec,Total,,,,
2,1,3,2,5 4 6 8 2,,,,,,,,
,,Total Number of,Total Number of,,,,,,,,,
,,Victims,Offenders,Total Arrest,% of Incidents,,,,,,,
,Total Number,,,By Incident,Resulting In,,,,,,,
,of Incidents,,,Type,Arrest,,,,,,,
,,,,,,,,,,,,
TYPE OF VIOLENCE,,Male Female,Male Female,,,,,,,,,
Abductions,0,,,,-,,,,,,,
Assaults,414,143 271,273 141,214,51.70%,,,,,,,
Intimidation,7,0 7,7 0,3,42.90%,,,,,,,
Murder,3,0 3,3 0,2,66.70%,,,,,,,
Sex Assault,10,2 8,10 0,2,20.00%,,,,,,,
Violation of Protection,35,5 30,30 5,12,34.30%,,,,,,,
Other,6,3 3,2 4,2,33.30%,,,,,,,
TOTAL,475,153 322,325 150,235,49.50%,,,,,,,
Albany,56,Big Horn,1,Campbell,74,,,,,,,
Carbon,22,Converse,3,Crook,2,,,,,,,
Fremont,29,Goshen,2,Hot Springs,5,,,,,,,
Johnson,6,Laramie,59,Lincoln,6,,,,,,,
Natrona,55,Niobrara,1,Park,17,,,,,,,
Platte,5,Sheridan,45,Sublette,11,,,,,,,
Sweetwater,50,Teton,0,Uinta,22,,,,,,,
Washakie,2,Weston,2,State Total,,475,,,,,,
JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
213,186,222,172,212,184,186,143,146,,,,"1,664"
Sunday,74,Thursday,57,,,,,,,,,
Monday,65,Friday,59,,,,,,,,,
Tuesday,63,Saturday,83,,,,,,,,,
Wednesday,74,Total,475,,,,,,,,,
00:01 - 01:59,40,12:00 - 13:59,40,,,,,,,,,
02:00 - 03:59,31,14:00 - 15:59,42,,,,,,,,,
04:00 - 05:59,13,16:00 - 17:59,52,,,,,,,,,
06:00 - 07:59,15,18:00 - 19:59,63,,,,,,,,,
08:00 - 09:59,23,20:00 - 21:59,68,,,,,,,,,
10:00 - 11:59,22,22:00 - 23:59,64,,,,,,,,,
Unknown,2,Total,475,,,,,,,,,
,Victims,,Offenders,,,,,,,,,
,,,,,,,,,,,,
,Number of Victims,Victims Under 18,Male Female,Under 18,,,,,,,,
Female,,,,,,,,,,,,
,322,15,284 38,5,,,,,,,,
Male,,,,,,,,,,,,
,153,10,41 112,11,,,,,,,,
Total,,,,,,,,,,,,
,475,25,325 150,16,,,,,,,,
Spouse,99,Former Spouse,12,,,,,,,,,
Parent,28,Other Relative,19,,,,,,,,,
Other household Member,105,Former Other Household Member,8,,,,,,,,,
Child,34,Dating,112,,,,,,,,,
Sibling,22,Former Dating,36,,,,,,,,,
Unknown,0,Total,475,,,,,,,,,
,Victim Age,,,Offender Age,,,,,,,,
17-Jan,,25,16 -17,,16,,,,,,,
18 - 29,,171,18 -29,,155,,,,,,,
30 - 39,,126,30 -39,,151,,,,,,,
40 - 59,,131,40 -59,,133,,,,,,,
60 & Over,,21,60 & Over,,18,,,,,,,
No Age Given,,1,No Age Given,,2,,,,,,,
Total,,475,Total,,475,,,,,,,
None,205,Minor Injuries,255,,,,,,,,,
Broken Bones,3,Other Major Injury,4,,,,,,,,,
Death,3,Loss of Teeth,1,,,,,,,,,
Internal Injures,2,Unconsciousness,1,,,,,,,,,
Severe Lacerations,1,Total,475,,,,,,,,,
Firearm,7,Other Dangerous Weapon,17,,,,,,,,,
Knife/Cutting Instrument,4,No Weapon,447,,,,,,,,,
Unknown,,Total,475,,,,,,,,,
Arrested,235,Referred to Social Agency,3,,,,,,,,,
Mediation by Officer,47,Separated from Premises,83,,,,,,,,,
Offender Not Found,28,Other,30,,,,,,,,,
Papers Filed Against,49,Total,475,,,,,,,,,
,,,Type of Weapon,,,Type of Assignment,,,,,,
,,,,,,,,,,,,
,Total,,Knife or,"Hand,",,One-Man Detective,,,,,,
,Assaults,,Other Other,"Fists,",Two-Man,Special Assign.,Other,,,,,
,by,,Cutting Dangerous,"Feet,",Vehicle,Vehicle,,,,,,
,Weapon,Firearm,Instrument Weapon,Etc.,,Alone Assisted Alone Assisted,Alone Assisted,Cleared,,,,
Type of Activity,,,,,,,,,,,,
,A,B,C D,E,F,G H I J,K L,M,,,,
"Responding to ""Disturbance""",,,,,,,,,,,,
Call,3,,,3,,3,,3,,,,
Burglaries in progress or,,,,,,,,,,,,
pursuing burglary suspect,0,,,,,,,,,,,
Robberies in progress or,,,,,,,,,,,,
pursuing robbery suspect,0,,,,,,,,,,,
Attempting other arrest,3,,1,2,,1 1,1,2,,,,
"Civil disorder (riot, mass",,,,,,,,,,,,
disobedience),0,,,,,,,,,,,
"Handling,  transporting, custody",,,,,,,,,,,,
of prisoners,3,,,3,,3,,3,,,,
Investigation suspicious,,,,,,,,,,,,
persons or circumstances,2,,,2,,2,,2,,,,
4Ambush - no warning,0,,,,,,,,,,,
Mentally deranged,0,,,,,,,,,,,
Traffic pursuits and stops,2,,1,1,,1 1,,2,,,,
All others,2,,,2,,2,,,,,,
TOTALS,15,0,0 2,13,0,3 10 0 1,0 1,12,,,,
Number with personal injury,3,2,1,,,,,,,,,
Number without personal injury,12,,12,,,,,,,,,
,AM,,,,,,,,,,,
,,4,1,,,2,,,,,,
Time of Assaults,PM,1,1,1,3,1,1,,,,,
,,,,,,,,,,,,
,,12:01 -2:00,2:01 - 4:00,4:01 - 6:00,6:01 - 8:00,8:01 - 10:00,10:01 - 12:00,,,,,
